mol_id,smiles,mw,logp,hbd,hba,rtb,tpsa,has_pains,passed_lipinski,is_valid,passed_filter
CHEMBL20883_div,O=c1[nH]c(=O)n(C2CCCO2)cc1F,200.17,-0.02,1,3,1,64.09,False,True,True,True
CHEMBL20_div,CC(=O)Nc1nnc(S(N)(=O)=O)s1,222.25,-0.86,2,6,2,115.04,False,True,True,True
CHEMBL21333_div,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,481.51,4.63,2,7,9,123.0,False,True,True,True
CHEMBL21536_div,CCCCCCOc1nsnc1C1=CCCN(C)C1,281.43,3.22,0,5,7,38.25,False,True,True,True
CHEMBL21731_div,CNCCCC12CCC(c3ccccc31)c1ccccc12,277.41,4.21,1,1,4,12.03,False,True,True,True
CHEMBL21869_div,O=C(Nc1ccc(Br)cc1)c1cc(Br)ccc1O,371.03,4.17,2,2,2,49.33,False,True,True,True
CHEMBL21_div,Nc1ccc(S(N)(=O)=O)cc1,172.21,-0.08,2,3,1,86.18,False,True,True,True
CHEMBL22097_div,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,335.19,3.13,1,3,1,52.9,False,True,True,True
CHEMBL22108_div,CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,292.43,4.15,0,2,5,16.13,False,True,True,True
CHEMBL22242_div,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,371.28,2.68,1,4,6,50.8,False,True,True,True
CHEMBL22_div,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,290.32,1.26,2,7,5,105.51,False,True,True,True
CHEMBL23013_div,N=C(N)c1ccc(OCCCOc2ccc(C(=N)N)cc2)cc1,312.37,2.1,4,4,8,118.2,False,True,True,True
CHEMBL23261_div,COc1cc(OC)nc(O[C@H](C(=O)O)C(OC)(c2ccccc2)c2ccccc2)n1,410.43,2.92,1,7,9,100.0,False,True,True,True
CHEMBL23393_div,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],288.38,0.39,0,4,12,66.43,False,True,True,False
CHEMBL2392656,CC(c1ccc(O)cc1)c1ccc(O)cc1,214.26,3.25,2,2,2,40.46,False,True,True,True
CHEMBL23_div,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,414.53,3.37,0,6,6,59.08,False,True,True,True
CHEMBL24072_div,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1,329.49,5.43,1,1,8,12.03,False,False,True,False
CHEMBL24171_div,COc1c2ccoc2cc2oc(=O)ccc12,216.19,2.55,0,4,1,52.58,False,True,True,True
CHEMBL24441_div,CNCCc1ccccn1,136.2,0.84,1,2,3,24.92,False,True,True,True
CHEMBL24778_div,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,495.54,3.07,3,6,13,97.05,False,True,True,False
CHEMBL24828_div,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,475.36,4.43,1,5,5,62.74,False,True,True,True
CHEMBL24924_div,O=C1c2ccccc2C(=O)C1c1ccc(F)cc1,240.23,2.99,0,2,1,34.14,True,True,True,False
CHEMBL24944_div,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,449.92,4.93,2,2,2,49.33,False,True,True,True
