mol_id,smiles,vina_score,status
CHEMBL18116_div,Cc1cccc(N2CC(CO)OC2=O)c1,-3.597,ok
CHEMBL374252,CC1=NN(c2ccccn2)C(=O)C1,-3.595,ok
CHEMBL139_div,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-3.589,ok
CHEMBL266510_div,COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21,-3.585,ok
CHEMBL11298_div,N[C@@H](CO)C(=O)O,-3.584,ok
CHEMBL16_div,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-3.575,ok
CHEMBL4087147,Cc1c(CO)cccc1-c1cccc(C=O)c1,-3.563,ok
CHEMBL269644_div,CC(=O)Nc1ccccc1,-3.542,ok
CHEMBL416_div,COc1c2occc2cc2ccc(=O)oc12,-3.528,ok
CHEMBL27810_div,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,-3.514,ok
CHEMBL14060_div,Oc1ccccc1,-3.514,ok
CHEMBL18_div,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,-3.513,ok
CHEMBL20835_div,CC(=O)OC1CN2CCC1CC2,-3.502,ok
CHEMBL4092122,Cc1c(CO)cccc1-c1ccccc1,-3.496,ok
CHEMBL43452_div,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-3.494,ok
CHEMBL31422_div,Cc1occc(=O)c1O,-3.485,ok
CHEMBL29_div,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,-3.476,ok
CHEMBL21731_div,CNCCCC12CCC(c3ccccc31)c1ccccc12,-3.464,ok
CHEMBL12318_div,O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,-3.45,ok
CHEMBL290916_div,CC1=NN(c2ccccc2)C(=O)C1,-3.448,ok
CHEMBL17860_div,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,-3.444,ok
CHEMBL282052_div,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,-3.44,ok
CHEMBL13766_div,COc1ccccc1O,-3.436,ok
CHEMBL266497_div,O=C1NC(=O)[C@@]2(CCOc3ccc(F)cc32)N1,-3.425,ok
CHEMBL43048_div,CNC(C)Cc1ccc2c(c1)OCO2,-3.406,ok
CHEMBL1441223,CC(=O)Oc1ccc2c(c1)cc(C)n2C,-3.4,ok
CHEMBL405_div,CC(N)Cc1ccccc1,-3.397,ok
CHEMBL24171_div,COc1c2ccoc2cc2oc(=O)ccc12,-3.38,ok
CHEMBL109_div,CCCC(CCC)C(=O)O,-3.377,ok
CHEMBL19612_div,NCCCCNCCCN,-3.372,ok
CHEMBL42336_div,CSCC[C@H](N)C(=O)O,-3.36,ok
CHEMBL285123_div,N[C@H](CO)C(=O)O,-3.36,ok
CHEMBL134_div,Clc1cccc(Cl)c1NC1=NCCN1,-3.355,ok
CHEMBL19236_div,COc1nc(C)nc(Cl)c1NC1=NCCN1,-3.354,ok
CHEMBL4068429,COc1cc(F)ccc1-c1cccc(CO)c1C,-3.353,ok
CHEMBL289480_div,C1COC(NC(C2CC2)C2CC2)=N1,-3.33,ok
CHEMBL37744_div,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1,-3.327,ok
CHEMBL113_div,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-3.301,ok
CHEMBL269671_div,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,-3.297,ok
CHEMBL22108_div,CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,-3.245,ok
CHEMBL284348_div,Nc1ccncc1,-3.243,ok
CHEMBL278020_div,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,-3.227,ok
CHEMBL267894_div,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-3.218,ok
CHEMBL24441_div,CNCCc1ccccn1,-3.217,ok
CHEMBL40_div,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-3.207,ok
CHEMBL4089571,COc1c(CO)cccc1-c1ccccc1,-3.2,ok
CHEMBL12948_div,CC1CCC(NC(=O)N(CCCl)N=O)CC1,-3.178,ok
CHEMBL11_div,CN(C)CCCN1c2ccccc2CCc2ccccc21,-3.154,ok
CHEMBL10316_div,c1ccc2c(c1)OCC(C1=NCCN1)O2,-3.142,ok
CHEMBL284906_div,O=C(NCCO[N+](=O)[O-])c1cccnc1,-3.141,ok
CHEMBL277474_div,Cc1cc(=O)n(-c2ccccc2)n1C,-3.137,ok
CHEMBL21536_div,CCCCCCOc1nsnc1C1=CCCN(C)C1,-3.121,ok
CHEMBL19449_div,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,-3.119,ok
CHEMBL33864_div,O=C(O)CCCCC1CCSS1,-3.114,ok
CHEMBL279597_div,C[C@H](N)C(=O)O,-3.096,ok
CHEMBL268164_div,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-3.092,ok
CHEMBL16073_div,CCOc1ccc(NC(C)=O)cc1,-3.085,ok
CHEMBL23_div,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,-3.085,ok
CHEMBL3_div,CN1CCC[C@H]1c1cccnc1,-3.078,ok
CHEMBL14053_div,O=C(O)C(Cl)(Cl)Cl,-3.063,ok
CHEMBL23261_div,COc1cc(OC)nc(O[C@H](C(=O)O)C(OC)(c2ccccc2)c2ccccc2)n1,-3.056,ok
CHEMBL288470_div,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-3.03,ok
CHEMBL19_div,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,-3.006,ok
CHEMBL33986_div,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,-3.003,ok
CHEMBL137_div,Cc1ncc([N+](=O)[O-])n1CCO,-2.989,ok
CHEMBL411_div,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,-2.973,ok
CHEMBL266349_div,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,-2.959,ok
CHEMBL435966_div,O=[N+]([O-])c1cncn1CCN1CCOCC1,-2.947,ok
CHEMBL16225_div,c1cc[nH]c1,-2.896,ok
CHEMBL13960_div,O=C(O)C(Cl)Cl,-2.884,ok
CHEMBL4096343,CCN(CC)C(=O)c1sc2ccccc2c1Cl,-2.829,ok
CHEMBL286398_div,CC(O)CO,-2.828,ok
CHEMBL404_div,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,-2.826,ok
CHEMBL403_div,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,-2.789,ok
CHEMBL431701_div,COc1cc([C@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@@H]2CO)ccc1O,-2.625,ok
CHEMBL3582253,Cc1cc(CN2CCC(C(=O)NCCO)CC2)ccc1OCc1cccc(-c2ccccc2)c1C,-2.526,ok
CHEMBL15562_div,c1cncnc1,-2.489,ok
CHEMBL427_div,CN(CCCl)CCCl,-2.479,ok
CHEMBL267936_div,CNC1(C)C2CCC(C2)C1(C)C,-2.447,ok
CHEMBL15891_div,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,-2.395,ok
CHEMBL15797_div,c1cnccn1,-2.263,ok
CHEMBL16080_div,CC(Cl)(Cl)Cl,-2.199,ok
CHEMBL15768_div,CC12CCC(CC1=O)C2(C)C,-2.172,ok
CHEMBL14_div,C[N+](C)(C)CCOC(N)=O.[Cl-],,vina_failed
CHEMBL282468_div,C[N+](C)(C)CCO.[Cl-],,vina_failed
CHEMBL296913_div,CCC(=O)[N-]S(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1.[Na+],,vina_failed
CHEMBL30219_div,C=CCC1(C(C)C#CCC)C(=O)N=C([O-])N(C)C1=O.[Na+],,vina_failed
CHEMBL42403_div,OB(O)O,,vina_failed
CHEMBL433_div,CCCC(CCC)C(=O)[O-].[Na+],,vina_failed
